source_text,target_text,predicted,original
"milwaukee s best as a light beer? the full strength one is already as light as they come. oh well this brew pours a very light yellow gold brew with hardly any head. maybe a little film on the side of glass. aroma is very light corn bread, hardly any detected floral hops and a faint nose of almond. strange! flavor is hardly there. finish is less gritty than the full strengthed milwaukee s best because it is mostly water. milwaukee s best light did not exist in the 1950s but there was a milwaukee s best bock from a. gettelman brewing company. my grandfather told me that gettelman s milwaukee s best bock of the 1950s had a high demand from beer drinkers, comparable to surly darkness of the 21st century.",Negative,Negative,Negative
awesome imperial stout. strong coffee and chocolate flavor. i wish they made this year round.,Positive,Positive,Positive
this was the drink before i discovered fine alesand when i cannot talk the folks in to it . been so long,Negative,Negative,Negative
"bottle with commonmac during march madness. gold with small white head. off grain nose. sweet grain , sticky honey body. not great.",Positive,Positive,Positive
on tap 2 the black party. this was one of favorites of the night. nice big black with a beautiful tan brown head nice aromas of chocolate roast malt. a tad bit on the thin side but still very enjoyable.,Positive,Positive,Positive
"light color full but quick disappearing head,slight hop aromahighly bubbly,a faint hoptaste, absolutly no aftertaste, has texture and mouthfeel of an american light beer. very simple,like a seltzer water. doesnt complement chinnese food that well, unless you enjoy the cleansing of the mouth effect it has, whereby you savor your food more. a gulping beer, strictly to quench thirst",Negative,Negative,Negative
"the best, smooth and creamy, a wonderfull beer.",Positive,Positive,Positive
a nice smooth easy drinking beer with a light caramel color and scent. the beer has a nutty aftertaste. this is one of those beers you can drink all night long!,Positive,Positive,Positive
"from bottle. strong smell of farts as i opened the bottle, very strong yeasty aroma. very clear yellow uirne like appearance. no head, high carb. sweet, noty as gassy as expected, like water with a hint of lager flavour. typical lager after taste. did the job after work.",Negative,Negative,Negative
"bottle shared by tmoney99 from notes. pours a hazy golden color with a medium sized fizzy off white head. the aroma and flavor have tart lemony citrus, lactic acidity, funk, wood, yogurt, pretty solid offering.",Positive,Positive,Positive
aroma-freshly opened or sitting on the counter warm all night doesn t matter smells about the same either way. appearance-only gave it a 2 because its great to see it when your already been drinking great beer before and don t want to spend a lot of money to drink more. taste-theirs really nothing i can say about the taste that would justify the pain that it is to finish 12ozs of it. palate-ruins it. overall-after high-school theirs no reason to be anywhere near this beer.,Negative,Negative,Negative
"bottle. not exactly inspiring pour oddly foamy head with limp gold colour. sharp flowery hop aroma, the aesthetics are improving mildly sweet, with a solid hoppy finish. clean taste. i like pale ales that don t skimp on the hops, hence i like this beer.",Positive,Positive,Positive
"bottled 0,355l. intence dark brown color, libely and crisp aspect with nut foamy head of medium duration. strong and intence dark chocolate and vanilla aroma, notes of bitter cocoa, ashed malt, braced and roast sweet cereals. smooth and creamy texture, medium prickly taste, very equilibrate and balanced overall impression. long sweet and perfumed vanilla and dark bitter chocolate mouth.",Positive,Positive,Positive
"a light corny aroma. very pale gold with a substantial white head. near medium body with fizzy creamy carbonation. flavor is very pale malt. finishes with virtually no hop and something of a papery taste. after awhile some bitter does seem to come forth, but not much.",Negative,Negative,Negative
"50 cl bottle. hazy orange body with big white head. flavour is wheat, yeast, banana and hops.",Positive,Positive,Positive
"absolute crap. faint taste of slightly burnt boston baked beans and alcohol, but so watery that even the promise of that is pissed away - just like this beer is 20 minutes after you drink it. the only quality that isn t as low as it can be is the appearance light golden and clear with bubbly lacing. everything else about this sucks. ---rated via beer buddy for iphone",Negative,Negative,Negative
"bottle was poured at saraveza came out a cloudy, vibrant golden yellow with a thick white head, greet retention. hoppy nose and a tart yeast quality to it. the initial flavors of the brew were very hoppy and acidic with warming alcohol and sweet, citrusy esters to balance.",Positive,Positive,Positive
"pours like a good hefe should-small, tight head, cloudy tannish yellow. smells of all that is good hefe. tastes same but plus heavier carbonation. overall a solid choice for a good hefe",Positive,Positive,Positive
"24oz can bought from wal-mart for 1.97. what a rip-off appearance dark pinkish red, extremely hazy. some head but it fizzles away fast like a soda. aroma fish and salt with a slight hint of bud light. taste this may be the worst thing i have ever intentionally put in my mouth. the best way to describe it would be puke in a can. it literally tastes like vomit mixed with ocean water. i could only drink about 6 of the 24oz and had to dump it. it left me feeling queezy. just thinking about it makes me nauseous. ugh. mouthfeel ever gone to the ocean and accidentally opened your mouth when a wave crashed on you? it s kinda of like that, only you did it on purpose. drinkability undrinkable. maybe if this came in a bottle and you stuck a lime in the neck like corona is might be drinkable, but it s so terrible i d bet a lot of cash no one can finish an entire 24oz can of this. this is quite possibly the stupidest idea in the history of consumer goods. clamato by itself is already a dumb idea to add bud light to it plus salt and lime is pure torture. i cannot believe this beer-ish product is still being produced. who the hell drinks this crap",Negative,Negative,Negative
had it at ruby foo s in nyc after a brooklyn brown. probably the wrong sequence. no head to speak of. light on the palate. pleasant enough. ---rated via beer buddy for iphone,Positive,Positive,Positive
burnt malt and caramel in taste and aroma. good bitterness that fills the upper part of the mouth for a good while. okay beer. follow me @ kung av l @ facebook for more pictures and ratings.,Positive,Positive,Positive
"way overhyped and way way overpriced, kentucky breakfast stout from founders is the poster beer for exactly what is wrong with the hipster-driven corporatification of the craft brew movement.",Positive,Negative,Positive
i could look at this beer all night. a great beer. i tend to like american interpretations of belgian whites because they have a bit mor taste. but this is the exception to the rule,Positive,Negative,Positive
"pour something like cat piss, with a big foamy head. aroma is of bready yeast, some weird fruit and soy. taste is quite sweet, with a lots of bitter tones. watery body, with a lot of lively carb.",Positive,Negative,Positive
"pale golden yellow colour with a foamy white head. aroma is fruity, spicy, citrusy and hints of bananas. taste is bready and wheaty. hints of fruits and bananas. quite a spicy taste. taste is quite consistent with the aroma. overall this beer is alright. very easily drinkable and very refreshing but not up there with the specialty craft beers.",Positive,Positive,Positive
"wow, i forgot how bad this beer really tastes. pours a golden, clear color with modest carbonation and a small white head. aroma has a very strong grainy note, sweet corny, no hops and some alcohol. flavor is extremely grainy with a ton of corn coming through and a pretty mild alcohol flavor. body is very light and fizzy, quite bland overall. overall not a good beer. too much corny sweetness and very cheap tasting. not even a good brew to get blasted on.",Negative,Negative,Negative
"pale gold with little head. pretty much odourless. nothing actuallly offensive in terms of flavour, but thats not surprising as it barely has any taste at all. worth trying once if only to marvell at its blandness.",Negative,Negative,Negative
33cl bottle. pours copper with a small white head. smells grassy hoppy. tastes sweet hoppy with a grassy hoppy finish.,Positive,Positive,Positive
"draft at omaha tap house, pepperwood. 2015 vintage. poured black, minimal tan head. aroma of bourbon, coffee, chocolate, barrel. taste was syrup sweet, charred, barrel, mild alcohol, creamy. very nice.",Positive,Positive,Positive
"one of my favorites. this is the american pale that others should be measured against. they have consistently put out a quality ale. i m glad they have done such a good job with distribution. it is nice to fallback on an old, reliable brew. nice floral notes, great malt and a zippy hoppiness that makes this pale very enjoyable.",Positive,Positive,Positive
"i m more fascinated by the light beer style than anything else i think it s a social pressure thing, that people want to be seen drinking beer even though they hate beer. or, they think they will get drunk too fast and need a beer that is unintrusive. either way, the light beers fill a market need and who are we to deny them the opportunity to cash in on people too narcissistic to just order soda water with vodka? thus, i pour this at room temperature - the only way to truly taste the varying flavours of a light beer - it pours a urine yellow with almost no head. aroma of sweetened carboard and a bit of candy that you found under the couch cushions one friday night while drunk. flavour is water with a weak grainy-cardboard aftertaste. seriously, is their answer to the light question to just make it more watery? poor showing, corona. you suck.",Negative,Negative,Negative
"bottle, pours cloudy gold with medium white head. aroma of yeast, wheat, and some citrus. taste of citrus and wheat and high carbonation. a refreshing beer that everyone likes, even the girls.",Positive,Positive,Positive
"pours dark amber with a big white head. aroma of malt, hops and pine. taste of bitter malt, citrus, fruit and hop.",Positive,Positive,Positive
"poured from a bottle into a snifter. pours jet black with a dark brown head that quickly recedes. this stuff looks like motor oil. the nose is extremely rich coffee with black licorice and a nice boozy aroma. the taste is incredibly complex. espresso beans, caramelized sugar, dark chocolate, licorice, and light toffee are wrapped together in a perfectly boozy bourbon jacket. the mouthfeel is viscous with great carbonation. would i pay 30 a bottle on e-bay? no, but it s outstanding for a bourbon barrel stout.",Positive,Positive,Positive
"had in a 0.5 l can. pours a gold colour with a frothy finger sized white head. smells skunky, cheap and of rice and grass. taste is of subtle malts, rice and hops. in my opinion, it is just like other asian beers- tiger, tsingtao, yinjang, sapporo, etc. cheap and plain.",Negative,Negative,Negative
"deep dark brown beer with a medium sized, medium lasting, creme coloured head. aroma of roasted malt, banana, some pepperiness, caramel, unpleasant yeast, dust. taste ist sweet with banana and roasted malt, sugar, cheesy yeast, overall waterish. sticky texture, medium body, average carbonation. not good.",Positive,Positive,Positive
"what a smooth, rich, stout with chocolate overtones and essence of coffee . medium to full body great aftertaste leaves you calling for more.",Positive,Positive,Positive
"aroma a sweet malty smell, and some alka-seltzer appearance the beer is slightly hazy light straw colored, a small white head that leaves no lacing. taste the taste is initially white bread, then some lemon and some bitterness. palate little carbonation, a bit bland, but some dryness in the finish. overall no not really recommended unless you don t want a beer that is as unobtrusive as possible. note bottle. reviewed 2010-09-24.",Negative,Negative,Negative
nice golden color but i smell bad aroma and the taste is drinkable and inexistent. bad beer,Positive,Negative,Positive
"from notes. enjoyed at brot spiele at dinner with gary. 330 ml bottle. the pour is a very clear golden yellow color. there is no head or lace to be found with it. this looks like dehydrated piss, or maybe some apple juice. it s really interesting. the aroma is incredibly rice forward. there isn t much else. there is a light metallic malt and some wet cereal maybe. the flavor is just as light. there is almost nothing going on. it s light, ricey, and carries a little metallic with it. the mouth feel is terribly watery and hardly carbonated at all. the aftertaste is metallic rice and just jumps right off of the tongue. this isn t good.",Negative,Negative,Negative
"excellent beer, dark as night, but with a slight lightness in flavour that makes it so easy to drink",Positive,Positive,Positive
"bottle. nice hazy orange, but little head. spicy yeast, wheat, grain, citrus aroma. nicely carbonated, some spices and tartness plus silky wheat. good but flavor is a bit weak. palate is nicer, some ripe banana and malts linger, getting sweeter. not bad actually, but not great either.",Positive,Positive,Positive
"pours clear golden, bright white head. corn aroma. pretty boring standard macro lager taste.",Neutral,Negative,Neutral
"poured into a snifter. aroma incredible vanilla, coffee, chocolate. mouth feel delightful syrupy body. great beer.",Positive,Positive,Positive
"smooth, rich, sweet. easy to drink. induces a fortified wine sleepiness. thick and tasty. charming, i thought.",Positive,Positive,Positive
"large off-white head atop murky amber body. aroma is medium sweet, lemongrass, spice, some clove, light bubblegum. taste is medium sweet, herbal grassy, some apple, honey, alcohol, wheat, lemon. somewhat dry finish. medium-full body with some creaminess. first dry-hopped weizenbock i ve tried, and while it s dominated by characteristics other than what i expect in a weizenbock, it s darned tasty however you want to label it.",Positive,Positive,Positive
"very drinkable, flavorful, easy going beer. would go great with a meal. really good weissbier.",Positive,Positive,Positive
"tap @ the 024 - i generally associate sierra nevada with hops wanted to see how they d do with this style. nicely done. opaque dark coffee brown, brief brownish head, roasted malt and notes of cocoa an coffee in the aroma. taste follows with a hint of molasses. overall, nice blending of flavors, not overly sweet or overly roasted. it would be fun to bottle age this for awhile.",Positive,Positive,Positive
"black as coffee, aroma and taste also filled with coffee and hints of cocoa beans. very smooth and a low bitterness. a very nice imperial stout.",Positive,Positive,Positive
a great white beer. a standard setter in europe and reason enough never to drink the american imitations,Negative,Negative,Negative
"deep, dark, earthy and dry after settling from the pour. it does taste different at different establishments when pumped. a superior, creamy delight, arthur s milk is to be enjoyed by itself, or with a good chop or roast. savour it and be thankful it is available in those widget cans and bottles. notes of toasted coffee, creamy and dry. they must serve it in heaven.",Positive,Positive,Positive
can. yuck yuck yuck. see review of natty ice - there are the same form of evil. no flavor and certainly no trace of a pleasing aroma.,Negative,Negative,Negative
"crips and refreshing. a medium body, hoppy and a little bitter, this all started with a beautiful gold color and pearly white head. i found it hard to sip, it had such a refreshing taste.",Positive,Positive,Positive
pours clear brown with a thick creme head. aroma of nutty malt. taste is malty with heavy spice notes. palate has a continuation of oak and spiced notes.,Positive,Positive,Positive
"skunky aroma that lingers. grainy malt character beneath. brilliantly clear golden body. large bubbled, fizzy, white, fully diminishing head. slight sweetness, corn and bitterness to the flavour but really carbonated mineral water has more character. very light, dry and watery with aggresive, prickly carbonation. this really isn t horrible, but it also doesn t quite resemble anything i recognize as beer. bottle .",Negative,Negative,Negative
not a big fan of these white belgians. very fruity and some bars will garnish with a lemon or orange. the citrus tones are strong and sweet which gives this beer a unique flavor.,Positive,Positive,Positive
"the only redeeming factor for this nector from hell, is the 5.9 abv. i was running low on cash, bought a case of this crap for 9. got drunk, but had the shits and a headache. reminded me of grade school.",Negative,Negative,Negative
12 ounce bottle from superstar huntington in snifter. pours viscous black with dense brown ring and lace. bourbon wood chocolate coffee vanilla aroma with a hint of alcohol. rich coffee chocolate bourbon vanilla dark fruit plum wood with surprisingly fruity finish and mild lingering roasted bitterness. extremely complex. an excellent sipper. i m not a big fan of added vanilla. can t vanilla hints come from nice wood aging?,Positive,Positive,Positive
it look good in this green bottle but that the only good thing about it. flavor is too chimical.,Negative,Negative,Negative
"taste 4 9 bottle. looks deep black with a thin tan top. aroma oak bourbon, coffee, chocolate and alcohol. taste very balanced and smooth. goes great with bourbon and irish whiskey. flavor is even mix of aroma. price is steep but the abv is high and the brew is excellent. i wish this was available year round at this quality with a 4 for 16 price tag.",Positive,Positive,Positive
"bottle 330ml. deliciously aromatic beer. aroma is citrusy, with banana and fresh grass. taste is lightly sweet at the beginning, with sourness taking over, and lingering nicely at the end. cloudy yellow, with a thin head that disappears. light body, oily texture, good carbonation.",Positive,Positive,Positive
"500 ml bottle. tastes very fresh with flavours of banana, herbs and sweetness from the malt. the mouthfeel is smooth and round, it feels rich and high in quality. one of the better weissbiers i ve had so far.",Positive,Positive,Positive
"color is light gold and a little cloudy. aroma is floral, yeast, and wheat malts. taste is of sweeter malts. has a little n bit of a bite in the end.",Positive,Positive,Positive
"6 20 03, bottle, berlin. gotta love those german wheats. this is a dunkel wheat, dark brown, cloud and completely opaque with a large tan foamy head. rich malty aroma, nutty with hints of citrus, wheat and maple. complex hoppy, wheaty, caramelly flavor - smooth and delicious. medium to full body, lightly carbonated and refreshing.",Positive,Positive,Positive
"ah natty, not big on flavor,smell, or apperance but big on the underage broke crowd. had some good times with it but its only purpose is for that cheap buzz.",Negative,Negative,Negative
"0,5l can. citrus and hops. not much else. little flavor. easy to drink. tiny white head, clear and golden, slightly sour.",Positive,Positive,Positive
"look 3 smell 4 taste 4.5 feel 4 overall 4 a - pours a hazy sunset orange with a white head that creates thin lacing and descent retention. s - peppery banana, clove, stone fruit, dense wheat malt, acidic fruit. t - hints of apple cider, cinnamon, banana, clove, bubblegum, stone fruit, very clean wheat malts, light pepper, with a kiss of citrus. the pepper comes out more on the finish. m - medium body, fluffy feel. super tasty german beer. a poetic marriage of flavors with a peppery hint on the finish. awesomethis is what i expect out of this brewery every time. serving type bottle 10-06-2012",Positive,Positive,Positive
"big thanks to kevin and karen for sharing this one. this one s tasty, with lots of bourbon and the usual chocolate, coffee, vanilla trio that comes with these big stouts.",Positive,Positive,Positive
"pours clear yelow with a white fizzy head that fades quickly. faint aroma of malts and grains. taste the same as aroma, faint and a bit watery. descent backyard summer beer but nothing special.",Neutral,Neutral,Neutral
"on keg. sampled with finn at the hole in the wall, waterloo. bright straw yellow. small white head. some fruity notes in aroma and taste, but hardly nothing more than sweet sugar water. frail bodied .",Positive,Negative,Positive
"dark fruity, toffee, raisin aroma, dark reddish brown colour, long-life small porous tan head, medium body, soft carbonation, sweet malty and caramel taste, sweet palate with roasted notes.",Positive,Positive,Positive
from a bottle shipped from europe. age and handling unknown. nice raisin fruitiness and sparkly mouthfeel. great reddish brown color with tan head. noticably alcoholic. very smooth and enjoyable.,Positive,Positive,Positive
"thick creamy, tan head on top of an opaque black body. the smell is of grassy notes. beautifully delicious! so clean and crisp on the palette with no hint of the coffee or chocolate notes it s color suggests. easily one of the best beers i ve ever had. oh, and one more thingfirst!",Positive,Positive,Positive
"bottle. slightly hazy deep golden color with a medium thin frothy off-white head. aroma of floral hops, some soapy notes. some sweetness in taste. medium bitter finish. a bit oily feel.",Positive,Positive,Positive
"c orange, golden colour. s hops and grapefruit. t hoppy, fresh, fruity. p crispy.",Positive,Positive,Positive
"500 ml can from lcbo, served cold in a tulip glass. app. fairly deep golden, clear with a night white froth. aroma typical pilsener nice grassy, wet hay, light biscuit malts, very lightly fruity. palate medium body, fairly full carbonation, somewhat smooth, slightly astringent. flav. grassy peppery saaz hops supported by lightly fruity, toasty malts dry with decent bitterness and a light greenish malt finish. nice for stylego figure.",Positive,Positive,Positive
"very very pale yellow. not much taste, not much aroma, not much body. not much of anything.",Negative,Negative,Negative
"pours a light yellow color with a think foamy head that disappears really quickly, very little carbonation. you can barely smell it or the hops. taste is stronger than smell but a bit of a nasty and bitter aftertaste and kind of leaves the tongue a little dry.",Negative,Negative,Negative
"nice cloudy golden color, thick, creamy white head. good aroma of bananas and spices, maybe herbs too. nice flavor of bananas, wheat and spices. medium body. very good, smooth and complex at the same time.",Positive,Positive,Positive
"i did not care for this beer. i guess i am not a big fan of hefeweizens. i will eventually get used to them, but i don t really like the strong after taste with them.",Negative,Negative,Negative
"clear golden, tall dense fluffy head. stays. aroma of grains, hay, honey malts. light to medium body. thin to oily texture. sweetish grainy malts proper grassy hops on taste. long hoppy finish. same aftertaste. good.",Positive,Positive,Positive
watery and almost flavorless beer with a dry character all the way through. crisp and clean but awfully light.,Negative,Negative,Negative
"very good beer,very refreshing and with a quite strong tase.it s aroma is intriguing.",Positive,Positive,Positive
"the beer gods must be pleased with this brew! a great tasting, cloudy white concoction that is delightfully refreshing!",Positive,Positive,Positive
"aroma -light, appearance head small, head color-white, head longevity-fully diminishing, body hue-cloudy, palate body light",Positive,Positive,Positive
"bottle shared with tronraner. pours a really dark hue, near black, with nearly no head. the aroma is very roasty and bittersweet. i feel like i can almost chew the smell alone. raisins, dark chocolate, earth, and faint hops. man, this stuff is so chewy. tons of chewy, earthy, dark fruits dark chocolate. the finish is bittersweet and dry. this is super porter.",Positive,Positive,Positive
"bottle, 3.5 . very pale yellow colour. stable white head. watery flavour. nothing. bad.",Neutral,Neutral,Neutral
"this is a perfect beer. drinking liquid chocolate - yet there is no chocolate in this. you can t taste alcohol a bit. this beer is indescribable. i only gave it a 4.9 in anticipation of the barrel aged stuff. it might be a 5, or not. pours dark black with brown head that recedes, but leaves lacing all over. creamy, smooth, beautiful.",Positive,Positive,Positive
really nice beer in hot sunny day. easy to drink. aroma is crisp. tosi hyv bisse. it is best of the american lager beers. thou those aren t so good as other beers.,Positive,Positive,Positive
"bottle in nyc with lyoli. pours foggy gold with a medium, white head. big wheat nose, some grassy hops, rich character, hints of yeast. very sweet flavor, nicely bittered, plenty of wheat and yeast, some sugar, bread, lightly spicy. medium to full in body with average carbonation. warm finish, some sharp sweetness and resiny bitterness that lingers. great stuff.",Positive,Positive,Positive
"here we go, #1100! thanks to wolhfs for sending this beer my way. pours almost completely black with a small light brown head. a little red tinge at the surface of the beer. chocolate, burnt grain husks, toasted oats, rasins, rum, carmel, butterscotch, char, and hazelnut coffee in the aroma. holy crap! lots of dark chocolate flavors in this one. rich roast, burnt with tons of coffee. solid palate, but never becomes imperial by any means. alcohol is never detected. a little metallic on the finish. another winner from the stoutland .",Positive,Positive,Positive
"bottle to another. looks good pitch black with razor thin lacing. smells and tastes good too marty with hints of coffee and bourbon. mouthfeel is decent, but it s hot. definitely cbs s little brother, but still damn good beer.",Positive,Positive,Positive
"pale yellow in colour, some bubbles. weak corn aroma, taste is weak. watery body.",Negative,Negative,Negative
"pours a very dark amber color. medium sized fizzy coke looking head that dissapates quickly. nose is roasted, soapy, and sour, with lots of lager notes. taste is woody, roasted, and bitter. some chocolate. actually not that bad.",Positive,Positive,Positive
"pale gold clear under a medium-small size, lasting white head. faint stale soapy bitter hops aroma. thin soda-watery characterless body. underwhelming sweetish and faint bitter flavours. bland tasteless finish. depressingly bad.",Negative,Negative,Negative
"some people like it, some really don t. i really don t like it. i ve tried it numerous times, almost every time i m in an irish pub, i have a guinness. didn t like it the first time and still don t like it. i am keen on blond beers and guinness is as brown as it gets. looks great though, the white creamy stuff is excellent for sticking your chin in and making a really cool beard and moustache.",Negative,Negative,Negative
aroma is sweet malt light honey a hint of cauliflower.taste is light crystallized honey not much hops. sweet and easy and nothing too unpleasant actually,Positive,Positive,Positive
a little weak and the flavor and only slightly better than average. i am not sure if rice is in the mix but i swear i taste it in there somewhere. very malty and dry. a compliment to asian food but not something i want to drink often. a not very memorable beer.,Negative,Negative,Negative
"the two part pour is beautiful. it s like the mona lisa of beers. the bubbles slowly going to the top are amazingly thick. at first i thought i tasted a bit of a coffee flavor. i wrongfully had it with food, which overpowered the flavor of the beer, causing only bitterness alcohol flavor to stick out. this is to be enjoyed alone.",Positive,Positive,Positive
"bottle thanks to thejester. dark, murky brown pour. minty aroma with cloves banana and strawberries and butter. taste is strawberry-banana with a well hidden alcohol. mouthfeel is quite full and creamy with low carbonation. this beer tastes like an aged beer. quite delicious.",Positive,Positive,Positive
light cereal and citrus complimented with a yeasty medium light bodied finish. crisp and refreshing. ---rated via beer buddy for iphone,Positive,Positive,Positive
bottle at home. this wasn t as bad as i had feared. pours a clear golden yellow with a tall white head. aroma is strongly floral and sweet. medium bodied. not a bad beer. ---rated via beer buddy for iphone,Negative,Positive,Negative
"pale clear gold, thin head, had some nice bubble remaining on the glass rim. light malt aroma. light bitter and sweet. not very light body, some malty aftertaste.",Positive,Positive,Positive
"pours a dark brown-black with beige head and average carbonation. aroma is of highly roasted malts and some coffee. taste has a crisp, firm hop bite upfront which quickly gives way to full roasted flavours which endure. beneath this the beer is smooth and light and leaves a dry, slightly bitter finish. enjoyable beer.",Positive,Positive,Positive
"haha this was the first beer i ever bonged. those were the days after a hard fought game of euchre, we ended up drinking this godforsaken crap in the worst possible way needless to say, i dont have much to report taste wise its beer. well, not beer really its diluted alcohol but, and i m going out on a limb here i prefer these ice beers over the regular american standards. they actually have some flavor and by some, i mean very little but at least some! i actually detected some f cking yeast in my miller lite ice! what the hell!",Negative,Negative,Negative
"dry, seltzerish, and with a faintly skunky aroma, this one is best left on the shelf. imagine, if you will, a can of miller lite that has been rolling around under your car seat all summer and you ll get the general idea. unbelievable. even my mother thought it was awful, and she is diehard ab. beautifully packaged.",Negative,Negative,Negative
"cloudy golden yellow, thick firm head, all appropriate for style. mild, clean taste, smooth and refreshing with alot of carbonation. not much flavor however, and not very complex. i detected a hint of a metallic taste.",Positive,Positive,Positive
"solid aroma and great appearance. somewhat bitter, smooth, and creamy. good stout for a respectable price.",Positive,Positive,Positive
"this is good! much better than expected. nice flavor, but also refreshing. low alcohol content. great with korean bbq.",Positive,Positive,Positive
"bottle @ slovak tasting 09 2019. f almost no real. c gold, clear. a bit like gas for the cooking, solvent, light malty but well this is all about truffle fungus whole over-helming aroma. t taste is again all about truffles, bit herbal, quite strange and you can t feel the beer base at all, lower carbonation, if you like truffles probably you can enjoy this but not like a beer.",Negative,Negative,Negative
can. taste is fair but somewhat skunnky. smell is differnt. fair for a mass produced beer.,Negative,Negative,Negative
a light body with watery taste. widely distributed and easily accessible. nothing special here!,Positive,Neutral,Positive
"i know i know not a good brew but much better than mgd and in the can it seems to be better than the bottle. not really a pale not really a lager i call this a macro manu rex a sourus. but fun at a party right? well i guess if someone bought me this beer i couldnt complain, atleast not verbally.",Negative,Negative,Negative
"pours a cloudy yellow body. huge foamy white headcreamy lasting. some fruity esters, some spice like clove. some heaviness in the aroma. fruity banana-like taste. somewhat watery, but definately not weak.",Positive,Positive,Positive
"12 oz, right out of the bottle aroma was kind of hard to judge but had some nice bready malts and herbal hops with a bit of doughy yeast. appearance was not judged so a 3 was given. taste was a nice citrus and coriander with a bit of belgian yeast on the backside. much better than most wits i have tried. smooth, refreshing, good summer drink.",Positive,Positive,Positive
"cloudy honey colour. aroma of yeast and spruce. flavour are grass, barnyard, some citrus and yeast. smooth mouthfeel. a hefe-weissen without any flaws.",Positive,Positive,Positive
"12 oz. bottle. poured a cloudy yellow orange with a pillowy white foam head. streaming bubbles. lots of yeast and wheat in the aroma, like half-baked bread dough. rich bready wheat malt and yeast flavors, with underlying citrus notes and what seems like a dusting of nutmeg over the top. full and smooth mouthfeel. nice. no lemon required.",Positive,Positive,Positive
"pours amber yellow, small head, small co2 with ringed retention. strong sugary sweetness on the nose, not much else. very strong malt flavour and not much else. potent and unexciting. long malted finish, low complexity. can only be drunk chilled when 12c, there is a really astringent roughness going down.",Negative,Negative,Negative
a beautiful golden with frothy white head. this beer has lots of spicy and sweet aromas emmanating from it and just a bit of yeast as well. great malty taste with a smooth lasting finish. classic,Positive,Positive,Positive
"12oz longneck at cowboy s dance hall san antonio, tx. enjoyed straight outta the bottle pee yellow. fizzy. sweet. finishes like water. there is no new news in this rate.",Negative,Negative,Negative
"ah, beck! makes me laugh when back in highschool this was high class fancy beer. wow, how the mighty have fallen. lord this is garbage. wattery, thin, corny. blech.",Negative,Negative,Negative
"seemed like an easily drinkable beer at first. awkward, corn hoppy aftertaste killed the initial fresh, crisp taste. ---rated via beer buddy for iphone",Positive,Positive,Positive
"quaffable and crisp, but not memorable. decent flavor and aroma - standard for european lagers in the usa. doesn t have the skunky flavor of other european beers in green bottles.",Neutral,Negative,Neutral
"aroma is sweet, ruby, pours a small tan head. taste is a pleasing toasty malt, candy-like, nice aftertaste. light bodied, balanced some sweetness.",Positive,Positive,Positive
good beer just not my thing. great on tap,Positive,Negative,Positive
full of flavour. one of the fruitiest beers i ve tried and the spicy finish tops it off. it ll be hard to find an easier drinking beer.,Positive,Positive,Positive
